day,cost_phones,cost_cases,cost_accessories,group
6,50600,0,0,control
6,17500,2300,0,control
6,14200,1200,0,control
6,42400,0,0,control
6,16300,3400,1700,control
6,38300,0,0,control
6,35200,0,0,control
6,66300,3200,0,control
6,28100,0,1800,control
6,44600,0,0,control
6,62200,0,0,control
6,4300,0,0,control
6,29300,2500,0,control
6,37700,0,1500,control
6,4600,2400,0,control
6,34600,0,0,control
6,67200,0,0,control
6,47600,0,0,control
6,17600,0,0,control
6,40100,0,0,control
6,76400,0,3600,control
6,67700,0,0,control
6,66100,0,0,control
6,28400,0,0,control
6,20700,700,0,control
6,30600,2600,0,control
6,36100,0,0,control
6,41400,0,0,control
6,30700,0,0,control
6,16500,3000,2300,control
6,50300,0,0,control
6,35100,0,0,control
6,36200,0,0,control
6,17300,0,0,control
6,39400,2600,3500,control
6,39400,0,0,control
6,23600,0,0,control
6,50200,2400,0,control
6,29500,0,0,control
6,52300,1600,2400,control
6,41400,2700,0,control
6,52000,0,0,control
6,28300,0,0,control
6,34900,0,0,control
6,56100,1900,0,control
6,35200,2300,0,control
6,10900,0,0,control
6,56500,3200,0,control
6,6400,0,0,control
6,20500,0,2500,control
6,49000,0,0,control
6,63000,0,0,control
6,16600,2200,0,control
6,47600,2000,0,control
6,42400,1900,0,control
6,49700,0,0,control
6,27200,0,0,control
6,42700,1800,2300,control
6,55100,0,0,control
6,38700,3000,0,control
6,35900,0,4000,control
6,24000,1800,0,control
6,21200,0,1600,control
6,26700,0,3700,control
6,67400,0,0,control
6,62800,0,2400,control
6,39600,1700,0,control
6,55900,0,0,control
6,47100,1900,0,control
6,41000,0,0,control
6,46000,2300,0,control
6,21700,0,3300,control
6,27800,2100,0,control
6,37800,2100,0,control
6,56700,0,0,control
6,65000,1300,0,control
6,49000,0,3900,control
6,16300,0,0,control
6,22800,2400,0,control
6,42000,0,4300,control
6,32100,2500,3400,control
6,29200,0,3400,control
6,40200,2600,0,control
6,31700,0,2100,control
6,19300,0,2000,control
6,16200,2700,0,control
6,32800,0,4700,control
6,31800,1700,4200,control
6,40500,2600,0,control
6,30800,0,0,control
6,24900,2400,0,control
6,26200,0,0,control
6,56800,2200,2600,control
6,24900,0,3500,control
6,60800,0,0,control
6,24700,0,0,control
6,39600,1600,2900,control
6,51700,0,0,control
6,55600,1500,0,control
6,44500,0,0,control
6,61800,0,0,control
6,33500,0,0,control
6,25900,0,0,control
6,45900,0,0,control
6,44700,0,0,control
6,43500,2400,0,control
6,53500,0,0,control
6,26400,2900,0,control
6,32500,0,0,control
6,75600,0,0,control
6,59200,2500,0,control
6,13300,0,0,control
6,53800,0,0,control
6,15400,2200,3100,control
6,50100,0,0,control
6,52000,0,0,control
6,72600,1900,0,control
6,38100,0,0,control
6,10900,0,3500,control
6,56100,1300,0,control
6,28200,0,0,control
6,28400,0,0,control
6,43700,2700,2400,control
6,37900,1500,0,control
6,16900,0,0,control
6,38800,0,0,control
6,27900,1800,3600,control
6,45100,1800,3300,control
6,23500,2300,2400,control
6,28200,700,0,control
6,51400,2800,0,control
6,24200,0,3300,control
6,30600,0,2800,control
6,33800,0,2900,control
6,13000,2000,0,control
6,19600,0,2400,control
6,36600,0,0,control
6,5700,0,0,control
6,41100,0,0,control
6,44100,0,0,control
6,42700,1300,0,control
6,52400,0,0,control
6,40900,0,0,control
6,33000,2000,0,control
6,30500,0,0,control
6,18300,0,0,control
6,45700,0,0,control
6,30600,2700,0,control
6,38700,2800,0,control
6,8200,0,0,control
6,9200,0,0,control
6,21600,0,0,control
6,39000,0,0,control
6,12900,0,0,control
6,50100,2000,2900,control
6,48900,0,0,control
6,9100,1400,0,control
6,55200,2100,0,control
6,34200,0,0,control
6,6800,0,0,control
6,14900,0,0,control
6,49100,0,0,control
6,21100,0,0,control
6,33000,1900,0,control
6,14400,0,1900,control
6,36800,2400,3000,control
6,41900,0,0,control
6,28800,0,3200,control
6,66800,2100,0,control
6,46000,0,0,control
6,36800,1400,0,control
6,75300,1900,0,control
6,49200,0,0,control
6,29200,2000,0,control
6,57300,0,0,control
6,60600,1300,0,control
6,52800,0,0,control
6,34800,2300,0,control
6,39100,2300,0,control
6,30000,0,0,control
6,47700,1300,0,control
6,46800,0,3200,control
6,20100,0,0,control
6,16700,0,0,control
6,79500,3100,3000,control
6,44600,1800,1700,control
6,61800,0,0,control
6,25600,0,0,control
6,50300,2700,1200,control
6,68000,0,0,control
6,21600,0,0,control
6,17800,0,0,control
6,7800,0,0,control
6,43000,0,0,control
6,19000,0,0,control
6,46600,1600,0,control
6,23100,0,0,control
6,26800,2800,2000,control
6,61400,0,0,control
6,66700,0,0,control
6,13300,2100,0,control
6,12200,2100,0,control
6,42300,0,0,control
6,42400,0,3300,control
6,18100,0,1500,control
6,39600,0,0,control
6,17000,1500,0,control
6,26200,2600,0,control
6,29500,0,0,control
6,47500,0,0,control
6,49800,0,0,control
6,20900,2100,0,control
6,39600,0,0,control
6,4200,0,0,control
6,16900,0,0,control
7,13000,0,0,control
7,41100,1900,0,control
7,38500,0,0,control
7,45300,1000,0,control
7,15000,2400,0,control
7,36700,0,0,control
7,13400,0,0,control
7,22900,0,0,control
7,14200,0,0,control
7,24100,3300,0,control
7,21500,2600,0,control
7,17600,0,0,control
7,25900,1900,0,control
7,38700,0,4000,control
7,45800,2200,0,control
7,45300,0,3000,control
7,37600,0,0,control
7,45500,2700,0,control
7,32200,0,3800,control
7,68500,0,0,control
7,32000,2500,0,control
7,26700,0,2600,control
7,41700,0,0,control
7,39100,2300,0,control
7,25400,0,0,control
7,46100,0,0,control
7,48300,2900,2500,control
7,18800,3100,0,control
7,18400,0,0,control
7,32800,1600,0,control
7,52500,0,0,control
7,23000,0,0,control
7,43700,0,0,control
7,59300,0,0,control
7,38900,0,0,control
7,46100,0,0,control
7,22500,0,0,control
7,23200,1400,0,control
7,6500,3000,0,control
7,49000,0,4100,control
7,69400,2700,0,control
7,56400,1800,0,control
7,19700,0,4200,control
7,58200,0,1500,control
7,31200,0,0,control
7,50200,2800,1700,control
7,13500,0,3000,control
7,22800,1700,0,control
7,29700,2200,4100,control
7,35500,0,3400,control
7,27300,0,0,control
7,21700,0,0,control
7,24500,0,2000,control
7,46900,0,0,control
7,33700,0,0,control
7,10000,0,0,control
7,25800,1900,4900,control
7,38700,1800,0,control
7,5500,2300,0,control
7,66300,3100,0,control
7,32700,1200,3300,control
7,26800,900,0,control
7,23800,0,0,control
7,52500,2600,0,control
7,47300,0,0,control
7,30700,0,0,control
7,56200,0,0,control
7,40800,0,2000,control
7,40800,0,0,control
7,43300,1600,600,control
7,38300,0,0,control
7,26800,1400,0,control
7,65300,0,0,control
7,24300,1700,0,control
7,62600,2400,0,control
7,19100,0,2000,control
7,35700,2600,0,control
7,39500,1800,3900,control
7,36500,0,4100,control
7,36000,0,1900,control
7,46000,2000,0,control
7,61800,0,0,control
7,32100,0,0,control
7,11200,0,1900,control
7,25500,1300,0,control
7,51500,2300,0,control
7,15000,1400,4200,control
7,78000,1500,0,control
7,7000,2500,2800,control
7,60400,0,0,control
7,48000,0,3100,control
7,67800,0,2400,control
7,41400,0,0,control
7,45300,0,0,control
7,11700,0,0,control
7,32700,0,0,control
7,6000,0,0,control
7,11300,2300,0,control
7,56200,2000,0,control
7,12800,0,0,control
7,48000,0,0,control
7,28900,0,0,control
7,12700,0,2600,control
7,64200,0,0,control
7,51000,2800,0,control
7,48200,1300,4300,control
7,44000,0,0,control
7,34400,1800,0,control
7,25800,2300,0,control
7,45700,1700,2500,control
7,52200,0,0,control
7,66000,0,0,control
7,25600,1900,0,control
7,20500,2000,2200,control
7,49100,0,0,control
7,50900,0,1500,control
7,34200,2500,0,control
7,30700,2400,0,control
7,62200,0,3900,control
7,46000,2000,0,control
7,21000,1900,0,control
7,31200,2100,3800,control
7,16200,0,0,control
7,23700,0,0,control
7,32400,1600,0,control
7,49700,1600,0,control
7,10900,2900,0,control
7,50100,0,0,control
7,29800,0,0,control
7,71300,1700,0,control
7,10900,0,0,control
7,34600,0,0,control
7,50000,0,0,control
7,6900,0,0,control
7,28600,0,0,control
7,52300,1800,0,control
7,31400,0,4400,control
7,23800,0,3900,control
7,30900,1600,3500,control
7,38800,0,0,control
7,27900,0,0,control
7,23700,2300,0,control
7,43700,2900,700,control
7,44200,0,0,control
7,22000,0,0,control
7,42300,0,600,control
7,51100,3100,4900,control
7,13400,0,0,control
7,28200,0,2200,control
7,47600,0,0,control
7,43700,0,0,control
7,12400,2400,0,control
7,29000,0,1100,control
7,60400,0,0,control
7,60500,0,0,control
7,37200,0,0,control
7,30700,0,5600,control
7,27900,0,0,control
7,54600,800,0,control
7,29800,0,0,control
7,14700,0,0,control
7,45400,0,3000,control
7,66200,0,2400,control
7,11200,0,0,control
7,38100,0,0,control
7,35300,3100,0,control
7,18500,0,0,control
7,13200,0,0,control
7,27800,2000,0,control
7,54400,2000,2800,control
7,72900,0,0,control
7,12900,0,0,control
7,25200,2500,0,control
7,62700,0,0,control
7,17400,0,0,control
7,44300,0,0,control
7,48700,1700,0,control
7,54600,1600,0,control
7,46400,0,3200,control
7,17700,2500,0,control
7,46300,0,0,control
7,10300,0,0,control
7,15600,0,0,control
7,54300,0,5200,control
7,52100,0,0,control
7,13700,0,0,control
7,68700,2500,3100,control
7,20700,1900,0,control
7,38500,0,0,control
7,16200,0,0,control
7,47000,2500,0,control
7,53400,0,0,control
7,35500,0,4300,control
7,54200,1500,0,control
7,48000,2000,0,control
7,30300,3000,0,control
7,39200,0,0,control
7,38600,1500,2800,control
7,9900,2000,0,control
7,17200,0,0,control
7,30100,0,0,control
7,31700,1100,0,control
7,21600,0,4200,control
7,38200,0,0,control
7,48600,2600,0,control
7,15300,2800,0,control
7,32200,0,1700,control
7,49000,0,0,control
7,52700,2000,0,control
7,40900,0,0,control
7,7000,1800,2400,control
7,8100,2700,0,control
7,31500,0,3100,control
7,27600,3000,0,control
7,17900,3000,0,control
7,41900,1600,0,control
8,54400,0,4200,control
8,25500,1600,0,control
8,47100,0,4500,control
8,14800,0,0,control
8,29500,0,0,control
8,53400,0,0,control
8,29100,0,0,control
8,66500,2500,0,control
8,42000,0,0,control
8,35500,0,0,control
8,6900,1200,3000,control
8,10800,0,0,control
8,8900,0,2200,control
8,40400,1700,0,control
8,9200,0,0,control
8,43900,0,2500,control
8,51800,0,0,control
8,60900,1200,0,control
8,34200,2700,0,control
8,41600,0,2000,control
8,56100,0,0,control
8,45800,1700,0,control
8,26000,0,0,control
8,72700,2600,0,control
8,65300,2700,3100,control
8,20300,1900,0,control
8,4100,2100,0,control
8,44900,0,0,control
8,49300,0,3000,control
8,43500,1400,2100,control
8,67200,0,0,control
8,33100,0,0,control
8,43700,0,0,control
8,47100,2200,0,control
8,35300,1800,0,control
8,27900,0,0,control
8,17800,0,0,control
8,33900,0,1800,control
8,56800,0,0,control
8,35700,0,0,control
8,23700,0,0,control
8,55300,0,0,control
8,25500,0,0,control
8,19700,0,0,control
8,55900,1100,0,control
8,52500,0,0,control
8,34500,0,0,control
8,35300,0,0,control
8,40700,0,0,control
8,14500,2800,0,control
8,49400,0,0,control
8,31200,2100,4200,control
8,14800,1500,2600,control
8,35200,3000,0,control
8,37900,3200,0,control
8,49800,3400,0,control
8,39800,0,0,control
8,75600,2100,0,control
8,49900,0,0,control
8,54600,0,0,control
8,53000,0,0,control
8,49300,0,0,control
8,64100,0,0,control
8,75900,0,1900,control
8,27600,0,0,control
8,29700,0,0,control
8,20600,1600,3900,control
8,24800,0,0,control
8,59800,2400,0,control
8,35200,2900,4100,control
8,42600,0,0,control
8,53500,1600,0,control
8,56400,0,0,control
8,34500,2100,0,control
8,20200,1100,0,control
8,75600,0,0,control
8,29300,0,0,control
8,24700,2100,0,control
8,41800,1400,0,control
8,12000,2300,2400,control
8,49000,0,1900,control
8,37400,2400,2900,control
8,41500,1400,0,control
8,49200,0,0,control
8,15300,2600,0,control
8,14200,0,0,control
8,43900,0,0,control
8,53700,1600,0,control
8,67200,1700,0,control
8,22000,0,0,control
8,53500,1100,3900,control
8,32300,0,0,control
8,32800,0,0,control
8,23600,0,3800,control
8,34500,1700,1900,control
8,59300,0,3800,control
8,24100,0,4100,control
8,20600,0,0,control
8,56600,2100,2800,control
8,29200,0,0,control
8,40100,0,0,control
8,16200,1300,0,control
8,57000,0,0,control
8,29900,0,0,control
8,37200,0,2700,control
8,9300,0,0,control
8,75600,1800,3400,control
8,82600,1500,3800,control
8,30400,4200,0,control
8,40300,0,0,control
8,20800,2600,4000,control
8,26800,1800,0,control
8,73400,0,0,control
8,15700,1800,0,control
8,40500,0,3000,control
8,40800,400,0,control
8,17900,0,0,control
8,29800,0,0,control
8,6200,0,0,control
8,29800,800,0,control
8,30700,0,3200,control
8,31500,2100,3100,control
8,43500,1900,0,control
8,55900,2000,3000,control
8,41300,0,3200,control
8,48800,0,0,control
8,22700,0,0,control
8,53100,1600,0,control
8,32600,0,0,control
8,5600,2900,0,control
8,78700,0,0,control
8,25200,0,0,control
8,43600,2500,2100,control
8,30600,0,0,control
8,78100,2300,0,control
8,23300,1700,0,control
8,45600,2800,0,control
8,27200,0,4300,control
8,42400,0,1600,control
8,32800,1900,0,control
8,7500,0,0,control
8,61400,1800,0,control
8,28700,3000,0,control
8,40500,2500,0,control
8,12700,1500,0,control
8,48900,2500,0,control
8,56900,0,0,control
8,50800,0,0,control
8,46100,3000,0,control
8,43500,0,0,control
8,48000,2200,0,control
8,12600,0,4700,control
8,8900,2500,0,control
8,31200,2200,0,control
8,31100,0,0,control
8,49900,0,3100,control
8,47600,0,0,control
8,30000,2700,3900,control
8,57300,0,0,control
8,59800,0,0,control
8,23800,0,2100,control
8,16200,0,0,control
8,58500,1800,4700,control
8,60300,1800,0,control
8,43500,0,0,control
8,58900,0,3200,control
8,30900,2100,3300,control
8,44900,0,0,control
8,41500,2500,0,control
8,58200,0,0,control
8,36400,0,0,control
8,55600,2000,0,control
8,12500,0,2200,control
8,31600,0,4300,control
8,34300,0,0,control
8,6300,0,0,control
8,30800,2200,3200,control
8,28300,0,0,control
8,46300,0,0,control
8,43000,2000,0,control
8,12500,2200,0,control
8,30600,0,0,control
8,33000,1700,0,control
8,62500,1900,3300,control
8,40200,2000,1500,control
8,16000,2400,0,control
8,18100,0,0,control
8,29800,0,2600,control
8,34000,0,2000,control
8,39900,0,0,control
8,51700,0,1900,control
8,44800,2300,0,control
8,32200,0,3700,control
8,67800,0,0,control
8,27300,0,0,control
8,28500,2100,0,control
8,55400,0,0,control
8,9600,0,0,control
8,51500,0,0,control
8,36700,0,3300,control
8,18600,1700,2500,control
8,26100,2500,3200,control
8,30800,1200,0,control
8,38200,1600,1900,control
8,62000,2000,0,control
8,26300,0,3600,control
8,32800,2400,0,control
8,33600,0,0,control
8,31500,0,0,control
8,5900,0,0,control
8,45200,0,0,control
8,11500,0,0,control
8,24800,0,3200,control
8,56100,2300,0,control
8,48100,0,0,control
8,57700,0,1500,control
8,28800,1900,3300,control
8,36100,2400,0,control
8,49800,0,0,control
8,47800,0,0,control
8,41400,0,0,control
8,22500,0,0,control
8,59700,1300,3100,control
8,48000,0,0,control
8,19500,0,0,control
8,8500,0,0,control
8,46500,0,0,control
8,25700,1400,0,control
8,38200,2300,2600,control
8,44400,1600,2700,control
9,23500,1500,0,control
9,25800,0,0,control
9,34900,0,0,control
9,58200,0,0,control
9,35400,0,3300,control
9,43100,0,2700,control
9,34100,1800,4000,control
9,38900,2500,0,control
9,25200,0,0,control
9,37400,0,4700,control
9,28400,0,0,control
9,30400,0,0,control
9,40000,0,0,control
9,37000,0,3800,control
9,41800,0,0,control
9,81600,2500,0,control
9,30200,2200,0,control
9,41900,0,0,control
9,17100,0,0,control
9,32900,0,3800,control
9,45600,0,0,control
9,28500,3100,0,control
9,39400,1300,0,control
9,20200,0,0,control
9,23300,1900,1900,control
9,29600,2900,3000,control
9,14900,0,0,control
9,61300,1800,0,control
9,30200,0,0,control
9,35600,0,0,control
9,27200,2600,0,control
9,33100,0,0,control
9,11200,0,2600,control
9,18500,0,0,control
9,28900,0,0,control
9,45600,1800,0,control
9,72400,0,0,control
9,36200,0,0,control
9,57400,0,0,control
9,14100,2400,0,control
9,32000,0,0,control
9,43100,0,0,control
9,24800,2600,0,control
9,34000,0,0,control
9,60300,1900,0,control
9,47800,2700,0,control
9,43100,1500,0,control
9,47200,2400,0,control
9,25300,2100,0,control
9,72300,0,0,control
9,71600,2000,0,control
9,69300,2400,0,control
9,33000,2100,0,control
9,16000,0,0,control
9,29600,0,0,control
9,38900,0,0,control
9,34500,0,0,control
9,40900,0,3100,control
9,61700,1500,0,control
9,14100,1700,3600,control
9,31300,0,2800,control
9,10400,1400,0,control
9,61400,1500,0,control
9,62600,0,0,control
9,14400,2200,2900,control
9,58900,1700,3700,control
9,27500,1500,0,control
9,37700,0,3600,control
9,5100,2100,1500,control
9,6100,0,3500,control
9,55700,0,0,control
9,16500,0,3500,control
9,13900,0,0,control
9,21400,1700,3500,control
9,56800,0,0,control
9,69100,2900,0,control
9,33900,0,0,control
9,66200,0,0,control
9,51600,0,0,control
9,48500,0,0,control
9,66100,1900,0,control
9,62700,1100,0,control
9,47100,1500,0,control
9,28100,3200,0,control
9,45300,0,0,control
9,53300,0,0,control
9,66100,0,1000,control
9,38900,0,0,control
9,21800,2300,0,control
9,15100,0,0,control
9,8500,0,0,control
9,16000,0,4400,control
9,43000,0,0,control
9,23000,0,4100,control
9,16200,2100,0,control
9,73300,2300,0,control
9,29800,1400,0,control
9,7700,2200,2800,control
9,84100,2100,0,control
9,59900,0,0,control
9,15100,0,0,control
9,56600,0,3300,control
9,34700,0,0,control
9,43600,1900,0,control
9,24200,0,1900,control
9,16500,0,6500,control
9,55900,0,1700,control
9,27200,0,0,control
9,44500,0,4000,control
9,28100,1600,2500,control
9,25700,0,1000,control
9,45800,2800,0,control
9,48900,2700,2100,control
9,42000,0,0,control
9,60700,2400,0,control
9,52200,0,0,control
9,45200,2500,0,control
9,55100,0,0,control
9,39000,0,0,control
9,56000,0,0,control
9,65600,2300,0,control
9,14700,0,0,control
9,61100,0,0,control
9,5800,0,0,control
9,68300,0,0,control
9,64400,0,0,control
9,9300,0,1800,control
9,30900,3200,0,control
9,37700,0,0,control
9,63200,0,0,control
9,11400,2700,0,control
9,28000,0,0,control
9,44200,0,0,control
9,16900,2800,0,control
9,17400,0,0,control
9,52800,0,0,control
9,73500,0,0,control
9,68800,0,0,control
9,22000,2800,0,control
9,39500,0,0,control
9,26800,0,0,control
9,48600,1700,3400,control
9,42200,0,0,control
9,20900,3000,0,control
9,20600,0,3500,control
9,24500,1700,0,control
9,41800,0,3100,control
9,38600,0,0,control
9,49800,0,0,control
9,62400,0,2800,control
9,46000,0,4300,control
9,56200,0,3400,control
9,35600,0,3700,control
9,5400,0,2300,control
9,20800,0,0,control
9,5900,2000,0,control
9,40700,1400,1800,control
9,70300,0,0,control
9,29900,0,0,control
9,18300,0,0,control
9,17400,0,0,control
9,35000,0,0,control
9,31700,0,0,control
9,26900,0,3900,control
9,41400,2200,0,control
9,50500,0,0,control
9,38200,0,0,control
9,23000,0,3500,control
9,25700,1500,2300,control
9,71100,2400,0,control
9,44000,0,0,control
9,54200,1500,0,control
9,51300,2500,5200,control
9,58600,0,0,control
9,47500,0,3600,control
9,36000,0,5100,control
9,36100,0,0,control
9,60300,0,0,control
9,43500,1800,2600,control
9,34600,0,2300,control
9,40500,0,0,control
9,25500,2800,0,control
9,63500,0,0,control
9,36500,1500,3100,control
9,28000,0,0,control
9,61900,0,0,control
9,58700,2600,0,control
9,24500,0,0,control
9,9400,0,2700,control
9,63800,1700,0,control
9,23200,0,0,control
9,51400,2900,1200,control
9,22000,0,0,control
9,44900,0,0,control
9,13100,0,0,control
9,22700,1000,3200,control
9,21900,0,0,control
9,75100,2300,0,control
9,34700,2800,5100,control
9,47800,0,0,control
9,20800,0,0,control
9,30200,0,1600,control
9,78700,0,0,control
9,59900,2300,3500,control
9,9600,2300,0,control
9,48500,1900,0,control
9,33400,2200,0,control
9,38000,1900,0,control
9,12000,0,1300,control
9,44000,1900,0,control
9,33600,0,0,control
9,40200,0,0,control
9,60500,0,4100,control
10,45200,0,0,control
10,30300,0,0,control
10,41000,0,0,control
10,39200,0,0,control
10,41200,3400,0,control
10,46700,0,0,control
10,74100,2700,0,control
10,52600,0,0,control
10,78500,2300,0,control
10,34600,0,0,control
10,8400,0,0,control
10,18700,2200,0,control
10,37800,0,0,control
10,49100,0,0,control
10,36900,0,2700,control
10,38000,1900,0,control
10,44100,2700,0,control
10,40000,0,0,control
10,70600,1700,4600,control
10,40300,0,0,control
10,65000,1200,0,control
10,19000,0,1500,control
10,11900,3400,0,control
10,58900,2900,5200,control
10,34000,0,2700,control
10,38800,0,0,control
10,22200,0,0,control
10,16700,0,0,control
10,53200,2500,0,control
10,26700,0,0,control
10,60700,2200,0,control
10,22200,0,0,control
10,50500,3200,3400,control
10,22400,2300,0,control
10,41500,0,0,control
10,20900,0,0,control
10,33900,0,0,control
10,39500,0,0,control
10,29000,0,0,control
10,44600,1900,0,control
10,39300,0,0,control
10,25600,2800,2300,control
10,59500,0,0,control
10,14500,0,0,control
10,28800,0,0,control
10,46300,1700,2700,control
10,50700,0,0,control
10,42400,0,2100,control
10,68500,0,0,control
10,48300,0,0,control
10,14500,0,0,control
10,19900,0,0,control
10,31700,1700,0,control
10,37300,0,0,control
10,61600,0,0,control
10,19200,0,0,control
10,18000,2300,0,control
10,18300,0,0,control
10,49700,0,0,control
10,9800,0,0,control
10,12000,2200,0,control
10,43700,0,2800,control
10,65700,2600,0,control
10,56000,1900,0,control
10,45900,0,0,control
10,64800,2600,0,control
10,30300,0,0,control
10,6200,1800,4200,control
10,35100,0,4800,control
10,45900,0,0,control
10,16600,1400,0,control
10,57800,0,0,control
10,20900,0,0,control
10,35900,1700,0,control
10,37100,0,0,control
10,55400,0,0,control
10,79300,2100,2900,control
10,64800,0,3200,control
10,55800,0,0,control
10,29600,1600,0,control
10,55400,0,0,control
10,26600,0,2800,control
10,41000,0,0,control
10,26600,0,1800,control
10,78900,0,0,control
10,34700,0,0,control
10,8100,0,0,control
10,30000,0,0,control
10,42300,0,0,control
10,31700,0,0,control
10,29900,0,0,control
10,31400,2200,0,control
10,67600,0,2000,control
10,78200,0,0,control
10,64200,0,0,control
10,62900,2000,0,control
10,19000,0,0,control
10,34800,0,3000,control
10,34700,1900,0,control
10,16900,0,0,control
10,41700,2200,0,control
10,34300,0,0,control
10,5800,3000,0,control
10,31100,2000,0,control
10,50900,0,0,control
10,26200,0,0,control
10,34600,0,0,control
10,26500,0,2000,control
10,51200,0,0,control
10,36500,2200,0,control
10,21800,2400,0,control
10,57400,1700,0,control
10,32300,2300,3400,control
10,21600,0,0,control
10,37300,0,0,control
10,49700,1900,0,control
10,33800,0,0,control
10,41100,0,0,control
10,62000,0,0,control
10,37100,1700,2600,control
10,81100,2100,0,control
10,48400,0,0,control
10,12000,0,0,control
10,33300,2400,0,control
10,37100,0,4400,control
10,44500,1600,4500,control
10,37300,0,0,control
10,39800,0,0,control
10,52700,2200,2900,control
10,60600,0,4500,control
10,30200,0,0,control
10,49600,0,2400,control
10,10400,0,0,control
10,26400,0,0,control
10,34900,0,0,control
10,9000,0,1700,control
10,39800,2100,0,control
10,40200,1700,0,control
10,95100,0,2600,control
10,37100,0,2900,control
10,31500,0,3300,control
10,63200,0,3800,control
10,17400,0,4600,control
10,16200,0,2400,control
10,44000,1700,0,control
10,70400,3100,0,control
10,23300,0,3500,control
10,47400,2000,0,control
10,44000,2800,0,control
10,36200,0,5000,control
10,11900,0,0,control
10,97600,0,0,control
10,53600,0,0,control
10,43600,0,3000,control
10,47700,2400,0,control
10,64800,2000,0,control
10,45300,0,3400,control
10,25100,0,0,control
10,44900,0,0,control
10,41100,900,0,control
10,56500,0,0,control
10,66600,800,3300,control
10,25500,0,0,control
10,51200,0,0,control
10,44300,0,0,control
10,40300,0,0,control
10,55000,1500,0,control
10,36700,0,0,control
10,16200,0,0,control
10,48000,0,0,control
10,47100,0,0,control
10,5500,0,0,control
10,38900,1200,3500,control
10,29500,1400,0,control
10,45200,0,0,control
10,38300,0,3100,control
10,51400,2100,0,control
10,56200,0,0,control
10,34800,0,0,control
10,16900,0,0,control
10,49800,0,0,control
10,39800,2500,2900,control
10,44600,2500,0,control
10,62100,0,0,control
10,34100,0,0,control
10,45600,0,0,control
10,9100,0,4000,control
10,38100,0,0,control
10,48900,0,0,control
10,28100,2700,3500,control
10,51300,2700,0,control
10,52100,0,1100,control
10,18600,2800,3500,control
10,66900,0,0,control
10,34000,1500,0,control
10,13500,0,0,control
10,41400,0,0,control
10,18800,0,0,control
10,31600,3100,1200,control
10,59900,0,0,control
10,34000,0,0,control
10,48500,1800,0,control
10,53700,0,3700,control
10,64000,0,3900,control
10,17800,0,3800,control
10,55500,0,0,control
10,66400,0,0,control
10,29600,2300,0,control
10,58700,1000,0,control
11,16500,0,0,control
11,13100,2100,0,control
11,50900,0,0,control
11,13700,2200,3400,control
11,20600,0,0,control
11,68800,0,900,control
11,46700,0,0,control
11,60200,0,0,control
11,23100,0,1400,control
11,63200,2600,0,control
11,15100,1200,0,control
11,17400,0,3100,control
11,23400,0,3700,control
11,29300,3000,0,control
11,65600,1900,0,control
11,32200,0,0,control
11,39500,0,3100,control
11,12600,1500,0,control
11,75400,0,1200,control
11,48200,0,0,control
11,73300,2800,0,control
11,45200,2100,0,control
11,30300,0,0,control
11,14800,2800,2200,control
11,40400,0,0,control
11,55100,2300,4000,control
11,39200,1800,0,control
11,20000,2200,0,control
11,10900,0,0,control
11,65800,0,0,control
11,21800,1400,0,control
11,31900,0,0,control
11,37100,2000,0,control
11,26700,2200,0,control
11,35900,0,4200,control
11,9200,0,0,control
11,44700,0,0,control
11,44300,0,0,control
11,53200,0,2100,control
11,42100,0,1000,control
11,44700,2100,3200,control
11,9700,0,0,control
11,31700,0,0,control
11,39700,0,2500,control
11,62900,2100,0,control
11,25100,0,0,control
11,37400,0,0,control
11,61800,0,1800,control
11,14300,0,0,control
11,40000,0,0,control
11,9100,0,0,control
11,39800,1700,0,control
11,49200,2300,0,control
11,79800,0,0,control
11,18500,0,900,control
11,13900,0,4400,control
11,21100,0,5200,control
11,58800,1300,0,control
11,31600,0,0,control
11,65600,3300,0,control
11,20500,0,3800,control
11,32300,1200,0,control
11,18300,0,0,control
11,39100,0,3700,control
11,71600,0,0,control
11,19400,0,0,control
11,39300,0,0,control
11,22400,0,0,control
11,42400,0,3900,control
11,35100,3200,0,control
11,23500,0,0,control
11,40100,0,1900,control
11,37200,1800,3700,control
11,38200,0,0,control
11,58000,1600,0,control
11,89800,0,0,control
11,12100,1700,3900,control
11,32300,0,0,control
11,29400,0,0,control
11,35300,2900,0,control
11,24600,0,0,control
11,28000,1400,0,control
11,6400,0,1400,control
11,34000,0,0,control
11,69400,0,0,control
11,25100,1500,0,control
11,29800,0,0,control
11,45500,2100,0,control
11,79900,0,0,control
11,26600,2200,2700,control
11,22600,0,0,control
11,44000,0,0,control
11,31900,0,0,control
11,35900,2700,700,control
11,59000,1100,0,control
11,56900,0,3300,control
11,9900,0,0,control
11,34600,1900,800,control
11,45800,0,0,control
11,7900,0,0,control
11,68400,3200,0,control
11,49600,2800,0,control
11,8400,2100,0,control
11,24800,2100,0,control
11,62200,2400,0,control
11,17500,0,0,control
11,32600,0,0,control
11,43400,0,0,control
11,54700,2300,1300,control
11,39600,1400,0,control
11,31400,0,2000,control
11,28300,0,0,control
11,60200,2200,4000,control
11,41000,0,2600,control
11,45700,1900,2200,control
11,39600,0,2700,control
11,19500,2500,0,control
11,32100,2400,0,control
11,39500,0,3800,control
